awayTeam,homeTeam,venue_name,homeDateTime,high_temperature,low_temperature,precipitation (mm),percentile_score,score
CHA,HOU,Toyota Center,2023-11-01,61.14,42.46,0.0,40.33306255077173,41.861077030109755
DEN,MIN,Target Center,2023-11-01,36.68,22.01,1.78,96.7506092607636,86.74370300359742
CHI,DAL,American Airlines Center,2023-11-01,56.34,34.0,0.0,58.570268074735985,50.55562456593043
MEM,UTA,Delta Center,2023-11-01,56.84,38.32,0.0,49.43135662063363,46.25349995898587
SAC,GSW,Chase Center,2023-11-01,72.77,54.55,0.0,15.150284321689682,26.095744798978515
LAC,LAL,Crypto.com Arena,2023-11-01,84.79,62.83,0.0,5.361494719740048,15.914915358894014
TOR,PHI,Wells Fargo Center,2023-11-02,50.32,32.27,0.0,61.9821283509342,52.11270548155334
DET,NOP,Smoothie King Center,2023-11-02,65.08,46.24,0.0,32.2502030869212,37.15829179435432
ORL,UTA,Delta Center,2023-11-02,63.61,42.42,0.0,40.454914703493095,41.928021591644494
SAS,PHX,Footprint Center,2023-11-02,84.02,59.65,0.0,8.489033306255077,19.444530729942183
CLE,IND,Gainbridge Fieldhouse,2023-11-03,60.24,36.77,0.0,52.55889520714866,47.583521337568236
NYK,MIL,Fiserv Forum,2023-11-03,52.18,42.19,1.83,83.4281072298944,63.74705433699772
WAS,MIA,Kaseya Center,2023-11-03,80.62,74.3,0.0,0.4061738424045491,6.763373828322429
BKN,CHI,United Center,2023-11-03,56.95,42.96,0.12,80.42242079610072,58.72256581202973
GSW,OKC,Paycom Center,2023-11-03,71.64,44.4,0.0,36.190089358245324,39.57073484962091
DAL,DEN,Ball Arena,2023-11-03,69.1,49.68,0.0,24.89845653939886,33.10695557268384
MEM,POR,Moda Center,2023-11-03,62.58,48.31,7.31,72.62388302193338,55.813078828407534
PHX,PHI,Wells Fargo Center,2023-11-04,57.92,40.95,0.0,43.623070674248574,43.60039241267613
CHA,IND,Gainbridge Fieldhouse,2023-11-04,65.5,48.56,0.0,27.2948822095857,34.45606484941102
LAL,ORL,Kia Center,2023-11-04,76.98,61.7,0.0,5.930138099106417,16.520194203487673
ATL,NOP,Smoothie King Center,2023-11-04,76.32,57.31,0.0,11.454102355808285,22.425320950536513
BOS,BKN,Barclays Center,2023-11-04,59.34,45.41,0.0,34.03736799350121,38.41998783239009
SAC,HOU,Toyota Center,2023-11-04,79.21,58.21,0.0,9.991876523151909,21.137709787210206
UTA,MIN,Target Center,2023-11-04,49.66,26.94,0.0,73.07067424857838,55.91609575903794
CHI,DEN,Ball Arena,2023-11-04,67.23,42.1,0.0,41.10479285134037,42.410209525383614
PHX,DET,Little Caesars Arena,2023-11-05,53.78,41.22,0.0,42.9731925264013,43.35850120543837
TOR,SAS,Frost Bank Center,2023-11-05,81.34,58.06,0.0,10.316815597075548,21.335805861304124
GSW,CLE,Rocket Mortgage FieldHouse,2023-11-05,54.99,40.24,0.0,45.369618196588135,44.39717923919443
CHA,DAL,American Airlines Center,2023-11-05,79.45,59.81,0.0,8.082859463850527,19.08053233366679
MEM,POR,Moda Center,2023-11-05,59.72,51.17,20.83,62.55077173030057,52.355966469779496
GSW,DET,Little Caesars Arena,2023-11-06,63.28,43.32,0.0,38.505280259951256,40.79221107932175
SAS,IND,Gainbridge Fieldhouse,2023-11-06,75.0,44.13,0.0,37.04305442729488,40.09878102952369
DAL,ORL,Kia Center,2023-11-06,81.59,54.55,0.0,15.150284321689682,26.095744798978515
WAS,PHI,Wells Fargo Center,2023-11-06,61.18,42.48,0.0,40.170593013809906,41.79402523868882
MIL,BKN,Barclays Center,2023-11-06,54.68,44.76,0.0,35.743298131600326,39.32188666504719
LAL,MIA,Kaseya Center,2023-11-06,82.76,63.21,0.0,4.79285134037368,15.285687594628294
LAC,NYK,Madison Square Garden,2023-11-06,54.72,43.43,0.0,38.34281072298944,40.72339941939174
UTA,CHI,United Center,2023-11-06,69.55,53.31,0.0,17.587327376116978,27.913246404070446
SAC,HOU,Toyota Center,2023-11-06,82.04,64.06,0.0,3.8992688870836716,14.436437757693588
BOS,MIN,Target Center,2023-11-06,55.56,39.83,0.0,45.97887896019496,44.63344167946834
ATL,OKC,Paycom Center,2023-11-06,80.98,60.31,0.0,7.2705117790414295,18.177221111169718
NOP,DEN,Ball Arena,2023-11-06,70.93,46.76,0.0,31.11291632818846,36.54948499398287
WAS,CHA,Spectrum Center,2023-11-08,79.65,48.65,0.0,27.132412672623882,34.31332484745138
UTA,IND,Gainbridge Fieldhouse,2023-11-08,78.55,51.1,7.09,58.082859463850525,50.17169524807488
BOS,PHI,Wells Fargo Center,2023-11-08,53.92,43.25,0.0,38.58651502843217,40.826573417006884
LAC,BKN,Barclays Center,2023-11-08,53.62,43.21,0.0,38.78960194963444,40.946614509558
SAS,NYK,Madison Square Garden,2023-11-08,53.02,42.46,0.0,40.33306255077173,41.861077030109755
PHX,CHI,United Center,2023-11-08,57.76,46.87,2.07,70.43054427294882,55.0634219095165
LAL,HOU,Toyota Center,2023-11-08,84.42,68.41,0.0,2.1121039805036554,11.272842602320795
MIA,MEM,FedExForum,2023-11-08,81.99,63.46,0.0,4.3866774979691305,15.007944847234608
DET,MIL,Fiserv Forum,2023-11-08,48.43,45.07,10.43,83.34687246141348,63.436821057832276
NOP,MIN,Target Center,2023-11-08,50.09,39.33,0.0,47.1161657189277,45.133334819216515
CLE,OKC,Paycom Center,2023-11-08,80.55,57.43,0.0,11.047928513403736,22.078714918351864
TOR,DAL,American Airlines Center,2023-11-08,84.79,68.88,0.0,2.0308692120227456,11.021241121946003
GSW,DEN,Ball Arena,2023-11-08,43.5,35.76,4.21,89.60194963444354,75.99369593405575
POR,SAC,Golden 1 Center,2023-11-08,69.75,45.07,0.0,34.606011372867584,38.801338810681315
MIL,IND,Gainbridge Fieldhouse,2023-11-09,65.21,46.78,0.0,30.950446791226643,36.51109750597846
ATL,ORL,Kia Center,2023-11-09,84.04,62.28,0.0,5.442729488220959,16.002785479880473
PHI,DET,Little Caesars Arena,2023-11-10,52.29,39.27,0.0,47.27863525588952,45.24195016490331
CHA,WAS,Capital One Arena,2023-11-10,56.35,39.27,8.78,88.13972380178716,73.23049380808389
BKN,BOS,TD Garden,2023-11-10,50.94,36.1,0.0,54.18359057676685,48.343680258901834
NOP,HOU,Toyota Center,2023-11-10,69.04,55.94,1.58,29.813160032493904,36.03929393962038
UTA,MEM,FedExForum,2023-11-10,62.15,46.83,2.67,72.29894394800975,55.72909237131092
MIN,SAS,Frost Bank Center,2023-11-10,59.07,54.14,0.43,34.44354183590576,38.673864107104876
LAC,DAL,American Airlines Center,2023-11-10,61.59,52.12,0.0,20.064987814784725,29.878690070081834
LAL,PHX,Footprint Center,2023-11-10,76.08,54.21,0.0,15.80016246953696,26.62769270809131
OKC,SAC,Golden 1 Center,2023-11-10,67.23,44.58,0.0,35.82453290008123,39.428728201677416
MIL,ORL,Kia Center,2023-11-11,86.58,72.34,0.1,2.274573517465475,11.684206034304417
TOR,BOS,TD Garden,2023-11-11,48.49,32.45,0.0,61.616571892770104,51.93750179864346
MIA,ATL,State Farm Arena,2023-11-11,54.7,49.1,10.97,70.67424857839154,55.150774312703355
CLE,GSW,Chase Center,2023-11-11,68.09,53.28,0.0,17.749796913078796,28.063555753277043
CHA,NYK,Madison Square Garden,2023-11-12,44.76,35.24,0.0,56.17384240454914,49.134898569331874
WAS,BKN,Barclays Center,2023-11-12,45.14,36.27,0.0,53.73679935012185,48.183877528549104
MEM,LAC,Crypto.com Arena,2023-11-12,82.06,61.65,0.0,6.051990251827782,16.647033816041127
IND,PHI,Wells Fargo Center,2023-11-12,47.68,35.62,0.0,55.64581640942323,48.834309956814664
DET,CHI,United Center,2023-11-12,57.63,41.7,0.0,41.59220146222583,42.73958345995038
DEN,HOU,Toyota Center,2023-11-12,67.46,58.32,4.76,24.532900081234768,32.90502816054371
DAL,NOP,Smoothie King Center,2023-11-12,68.99,61.72,0.0,5.848903330625507,16.435090638223922
MIA,SAS,Frost Bank Center,2023-11-12,59.14,56.86,11.84,33.225020308692116,37.92062572973587
OKC,PHX,Footprint Center,2023-11-12,81.88,58.89,0.0,9.0982940698619,20.048166482232787
MIN,GSW,Chase Center,2023-11-12,67.93,53.87,0.0,16.571892770105606,27.27804376940262
POR,LAL,Crypto.com Arena,2023-11-12,82.06,61.65,0.0,6.051990251827782,16.647033816041127
NYK,BOS,TD Garden,2023-11-13,43.72,26.64,0.0,73.43623070674248,56.103871138195494
WAS,TOR,Scotiabank Arena,2023-11-13,55.83,32.2,0.0,62.06336311941511,52.193370357834326
CHI,MIL,Fiserv Forum,2023-11-13,58.96,38.5,0.0,48.94394800974817,46.07123381297737
CLE,SAC,Golden 1 Center,2023-11-13,69.84,48.79,0.0,26.56376929325751,34.04664862455177
MIA,CHA,Spectrum Center,2023-11-14,66.9,44.96,0.0,34.687246141348496,38.85551198804043
ATL,DET,Little Caesars Arena,2023-11-14,52.99,35.28,0.0,56.05199025182778,49.07778553429143
IND,PHI,Wells Fargo Center,2023-11-14,55.92,39.58,0.0,46.62875710804224,44.884084195057405
ORL,BKN,Barclays Center,2023-11-14,53.2,42.31,0.0,40.61738424045491,42.07825744542916
SAS,OKC,Paycom Center,2023-11-14,69.62,45.52,0.0,33.428107229894394,38.09007685647525
DAL,NOP,Smoothie King Center,2023-11-14,62.35,57.88,9.59,28.26969943135662,35.001075399077564
POR,UTA,Delta Center,2023-11-14,65.3,46.74,0.0,31.194151096669373,36.58783220634548
LAC,DEN,Ball Arena,2023-11-14,68.9,46.81,0.0,30.82859463850528,36.45344047877508
MIN,GSW,Chase Center,2023-11-14,68.9,54.84,0.47,31.76279447603574,36.93778956590117
MEM,LAL,Crypto.com Arena,2023-11-14,76.44,55.99,0.0,13.16003249390739,23.937634085105067
DAL,WAS,Capital One Arena,2023-11-15,58.93,39.43,0.0,47.034930950446785,45.10225382028251
NYK,ATL,State Farm Arena,2023-11-15,60.87,52.48,1.14,42.89195775792039,43.344100099267074
BOS,PHI,Wells Fargo Center,2023-11-15,55.53,37.09,0.0,51.624695369618195,47.094749187320836
MIL,TOR,Scotiabank Arena,2023-11-15,56.8,36.28,0.0,53.61494719740048,48.140202900847314
ORL,CHI,United Center,2023-11-15,65.75,42.85,0.0,39.7238017871649,41.47404886704683
MIN,PHX,Footprint Center,2023-11-15,85.14,66.69,0.0,2.761982128350934,12.341737740104142
SAC,LAL,Crypto.com Arena,2023-11-15,68.49,57.51,3.03,25.995125913891144,33.74023008788982
CLE,POR,Moda Center,2023-11-15,51.87,43.21,0.0,38.78960194963444,40.946614509558
BKN,MIA,Kaseya Center,2023-11-16,79.11,68.27,40.54,8.367181153533712,19.364291824029866
OKC,GSW,Chase Center,2023-11-16,64.67,55.6,6.22,35.093419983753044,39.018568787710834
MIL,CHA,Spectrum Center,2023-11-17,70.83,52.99,0.0,18.11535337124289,28.534312287897478
NYK,WAS,Capital One Arena,2023-11-17,69.33,47.32,3.59,71.9740048740861,55.663080566775214
PHI,ATL,State Farm Arena,2023-11-17,69.55,55.24,0.0,14.0536149471974,25.137764071471143
DET,CLE,Rocket Mortgage FieldHouse,2023-11-17,60.42,40.86,20.26,88.22095857026807,73.31434570006306
BOS,TOR,Scotiabank Arena,2023-11-17,55.8,34.95,0.73,87.40861088545897,72.29170593293094
SAC,SAS,Frost Bank Center,2023-11-17,79.0,55.96,0.0,13.241267262388302,23.99614422832752
ORL,CHI,United Center,2023-11-17,61.41,38.8,0.32,84.3216896831844,65.53555474618736
DEN,NOP,Smoothie King Center,2023-11-17,75.09,62.91,0.0,5.117790414297319,15.648344774378632
PHX,UTA,Delta Center,2023-11-17,57.7,40.26,0.0,45.247766043866775,44.34977571584425
LAL,POR,Moda Center,2023-11-17,55.02,39.56,0.0,46.70999187652315,44.91531616568353
HOU,LAC,Crypto.com Arena,2023-11-17,72.28,57.81,0.0,10.641754670999187,21.5971076926636
